nome,lat,long,
Fatec Adamantina,-21.68907971597049,-51.06583800304744
Fatec Americana,-22.739226583488854,-47.35039322551115
Fatec Araçatuba,-21.181388041852664,-50.449859806763996
Fatec Araraquara,-21.77340392195248,-48.13660435092439
Fatec Araras,-22.35519818277887,-47.33401430682578
Fatec Assis,-22.64705607478978,-50.437730464523945
Fatec Barretos,-20.55709887837214,-48.56857182219296
Fatec Barueri,-23.50786405831513,-46.86445196544595
Fatec Bauru,-22.329188115852254, -49.07397320674669
Fatec Bebedouro,-20.955290996353085, -48.485491206746694
Fatec Botucatu,-22.930827675242256, -48.46109449140452
Fatec Bragança Paulista,-22.922412949480552, -46.54587237791117
Fatec Campinas,-22.861964381541444, -47.09909068312809
Fatec Capão Bonito,-23.989543356579002, -48.33495377791115
Fatec Carapicuíba,-23.516937534254247, -46.83543825092438
Fatec Catanduva,-21.138047061368198, -48.9743729932533
Fatec Cotia,-23.597619866472847, -46.92705455092438
Fatec Cruzeiro,-22.58646599311415, -44.96250150685285
Fatec Diadema,-23.673412728316894, -46.618915635582226
Fatec Ferraz de Vasconcelos,-23.530483555876216, -46.36898816626654
Fatec Franca,-20.51472287982851, -47.400688935582224
Fatec Franco da Rocha,-23.33598292981843, -46.72252825092439
Fatec Garça,-22.233308545895987, -49.64395753558223
Fatec Guaratinguetá,-22.78593321852612, -45.18139324907562
Fatec Guarulhos,-23.4545010088437, -46.50154292872578
Fatec Indaiatuba,-23.085513336925437, -47.20237710674669
Fatec Itapetininga,-23.599896838388684, -48.05137762024007
Fatec Itapira,-22.4308452897999, -46.83451873743099
Fatec Itaquaquecetuba,-23.48360839692486, -46.368986635582225
Fatec Itatiba,-22.995687322433163, -46.846953835582234
Fatec Itu,-23.29013551748104, -47.29624940674669
Fatec Jaboticabal,-21.250826512649702, -48.3064878356884
Fatec Jacareí,-23.29473856090832, -45.96655306441777
Fatec Jales,-20.275835899570342, -50.541758879759925
Fatec Jahu,-22.314179541032576, -48.548245979759926
Fatec Jundiaí,-23.181240522195324, -46.88301405092439
Fatec Lins,-21.698161833251895, -49.75019867791115
Fatec Marília,-22.208032908308297, -49.95403710859546
Fatec Matão,-21.6175260385173, -48.36012596441776
Fatec Mauá,-23.663467725694105, -46.46020526626654
Fatec Mococa,-21.48301969779029, -47.008236377911146
Fatec Mogi das Cruzes,-23.507765332005004, -46.1889207932533
Fatec Mogi Mirim,-22.42300058222422, -46.94958197975993
Fatec Osasco,-23.522404477684823, -46.758260808595466
Fatec Ourinhos,-22.950629386314056, -49.89612904907562
Fatec Pindamonhangaba,-22.904497624664142, -45.41505713558223
Fatec Piracicaba,-22.692602439422288, -47.625104462568984
Fatec Pompéia,-22.10971550174383, -50.19697712208885
Fatec Praia Grande,-24.004973185688392, -46.41216637791115
Fatec Presidente Prudente,-22.13973849574334, -51.38401787791114
Fatec Registro,-24.49599146366839, -47.84630170859547
Fatec Ribeirão Preto,-21.18695191301926, -47.833332222088856
Fatec Santana de Parnaíba,-23.406449856645636, -46.87813515092439
Fatec Santo André,-23.660614341859073, -46.53037456441776
Fatec Baixada Santista,-23.942538932244922, -46.32637853558222
Fatec São Bernardo do Campo,-23.695412789046348, -46.54694165092439
Fatec São Caetano do Sul,-23.637441254902413, -46.578752764417764
Fatec São Carlos,-22.00021459516687, -47.879828912069314
Fatec São José do Rio Preto,-20.793425389614487, -49.399836835582214
Fatec São José dos Campos,-23.162040875290643, -45.79530486441778
Fatec Ipiranga,-23.60949492272435, -46.607847549075615
Fatec Itaquera,-23.54484281619254, -46.46801322024007
Fatec São Paulo,-23.529371127516434, -46.632589722088845
Fatec Sebrae,-23.53286973472581, -46.64723095092439
Fatec Tatuapé,-23.537063475796696, -46.55831610674669
Fatec Zona Leste,-23.521361401832895, -46.476465962568994
Fatec Zona Sul,-23.663320398797428, -46.72934995092438
Fatec São Roque,-23.53269618662808, -47.13408647975994
Fatec São Sebastião,-23.792990560514646, -45.40293726441777
Fatec Sertãozinho,-21.14076325829568, -48.000338564417774
Fatec Sorocaba,-23.48035193151619, -47.42601347975993
Fatec Sumaré,-22.820072532385044, -47.26618871979428
Fatec Taquaritinga,-21.429844322599422, -48.51531132208885
Fatec Tatuí,-23.330405768006045, -47.86819672208883
Fatec Taubaté,-23.01279479994717, -45.53634416441777
Fatec Votorantim,-23.53097237666617, -47.449386250924384
