nome;endereco;municipio;estado;cep;quantidade_cursos;cursos
Fatec Marília;Avenida Castro Alves, 62 - Somenzari;Marília;SP;17506000;3;Alimentos, Gestão Comercial e Gestão Empresarial
Fatec Matão;Avenida Habib Gabriel, 1360 - Bairro Residencial Olívio Benassi;Matão;SP;15990539;2;Análise de Processos Agroindustriais e Desenvolvimento de Software Multiplataforma
Fatec Mauá;Avenida Antonia Rosa Fioravante, 804 - Vila Fausto Morelli;Mauá;SP;9390120;7;Desenvolvimento de Produtos Plásticos, Desenvolvimento de Software Multiplataforma, Fabricação Mecânica, Gestão Empresarial, Informática para Negócios, Logística e Polímeros
Fatec Mococa;Avenida Doutor Américo Pereira Lima - Jardim Lavínia;Mococa;SP;13736260;5;Agronegócio, Análise e Desenvolvimento de Sistemas, Gestão da Tecnologia da Informação, Gestão de Recursos Humanos e Gestão Empresarial
Fatec Mogi das Cruzes;Rua Carlos Barattino, 908 - Vila Nova Mogilar;Mogi das Cruzes;SP;8773600;5;Agronegócio, Análise e Desenvolvimento de Sistemas, Gestão de Recursos Humanos, Gestão Empresarial e Logística
Fatec Mogi Mirim;Rua Ariovaldo Silveira Franco, 567 - Jardim 31 de Março;Mogi Mirim;SP;13801005;5;Análise e Desenvolvimento de Sistemas, Fabricação Mecânica, Gestão Empresarial, Mecatrônica Industrial e Projetos Mecânicos
Fatec Osasco;Rua Pedro Rissato, 30 - Vila dos Remédios;Osasco;SP;6296220;7;Automação Industrial, Desenvolvimento de Software Multiplataforma, Gestão Empresarial, Gestão Financeira, Manutenção Industrial, Redes de Computadores e Sistemas Biomédicos
Fatec Ourinhos;Avenida Vitalina Marcusso, 1400 - Campus Universitário;Ourinhos;SP;19910206;6;Agronegócio, Análise e Desenvolvimento de Sistemas, Ciência de Dados, Gestão Empresarial, Jogos Digitais e Segurança da Informação
Fatec Pindamonhangaba;Rodovia Vereador Abel Fabricio Dias (SP 62), 4010 - Água Preta;Pindamonhangaba;SP;12414000;6;Gestão de Negócios e Inovação, Gestão Empresarial, Manutenção Industrial, Mecânica - Processos de Soldagem, Processos Metalúrgicos e Projetos Mecânicos
Fatec Piracicaba;Rua Diácono Jair de Oliveira, 651 - Santa Rosa;Piracicaba;SP;13414155;3;Alimentos, Biocombustíveis  e Gestão Empresarial
Fatec Pompéia;Avenida Shunji Nishimura, 605 - Distrito Industrial;Pompéia ;SP;17580000;2;Big Data no Agronegócio e Mecanização em Agricultura de Precisão
Fatec Praia Grande;Praça 19 de Janeiro, 144 - Boqueirão;Praia Grande;SP;11700100;5;Análise e Desenvolvimento de Sistemas, Comércio Exterior, Desenvolvimento de Software Multiplataforma, Gestão Empresarial e Processos Químicos
Fatec Presidente Prudente;Rua Teresina, 75 - Vila Paulo Roberto;Presidente Prudente;SP;19046230;6;Agronegócio, Análise e Desenvolvimento de Sistemas, Eventos, Gestão Empresarial, Marketing e Produção Agropecuária
Fatec Registro;Avenida Clara Gianotti de Souza, 257 - Centro;Registro;SP;11900000;1;Desenvolvimento de Software Multiplataforma
Fatec Ribeirão Preto;Avenida Pio XII, 1255 - Vila Virginia;Ribeirão Preto ;SP;14030250;3;Análise e Desenvolvimento de Sistemas, Gestão de Negócios e Inovação e Sistemas Biomédicos
Fatec Santana de Parnaíba;Avenida Tenente Marques - Fazendinha;Santana de Parnaíba;SP;6529001;4;Análise e Desenvolvimento de Sistemas, Ciência de Dados, Gestão Comercial e Segurança da Informação
Fatec Santo André;Rua Prefeito Justino Paixão, 150 - Centro;Santo André;SP;9020130;4;Eletrônica Automotiva, Mecânica Automobilística, Mecatrônica Industrial e Sistemas Embarcados
Fatec Baixada Santista;Avenida Senador Feijó, 350 - Vila Mathias;Santos;SP;11015502;7;Análise e Desenvolvimento de Sistemas, Ciência de Dados, Gestão de Recursos Humanos, Gestão Empresarial, Gestão Portuária, Logística e Sistemas para Internet
Fatec São Bernardo do Campo;Avenida Pereira Barreto, 400 - Vila Baeta Neves;São Bernardo do Campo;SP;9751000;4;Automação Industrial, Gestão Empresarial, Informática para Negócios e Manufatura Avançada
Fatec São Caetano do Sul;Rua Bell Aliance, 225 - Jardim São Caetano;São Caetano do Sul;SP;9581420;5;Análise e Desenvolvimento de Sistemas, Comércio Exterior, Gestão Empresarial, Jogos Digitais e Segurança da Informação
Fatec São Carlos;Avenida Araraquara, 451 - Vila Brasília;São Carlos ;SP;13566770;2;Gestão de Recursos Humanos e Gestão Empresarial
Fatec São José do Rio Preto;Rua Fernandópolis, 2510 - Eldorado;São José do Rio Preto;SP;15043020;4;Agronegócio, Análise e Desenvolvimento de Sistemas, Gestão Empresarial e Informática para Negócios
Fatec São José dos Campos;Avenida Cesare Mansueto Giulio Lattes, 1350 - Eugênio de Melo;São José dos Campos ;SP;12247014;9;Análise e Desenvolvimento de Sistemas, Banco de Dados, Desenvolvimento de Software Multiplataforma, Gestão da Produção Industrial, Logística, Manufatura Avançada, Manutenção de Aeronaves e Projetos de Estruturas Aeronáuticas
Fatec Ipiranga;Rua Frei João, 59 - Ipiranga;São Paulo ;SP;4280130;6;Análise e Desenvolvimento de Sistemas, Big Data para Negócios, Eventos, Gestão Comercial, Gestão de Recursos Humanos e Gestão Empresarial
Fatec Itaquera;Avenida Engenheiro Ardevan Machado - em frente ao Metrô Corinthians-Itaquera - Vila Carmosina - Itaquera;São Paulo ;SP;8295003;6;Automação Industrial, Desenvolvimento de Software Multiplataforma, Fabricação Mecânica, Manutenção Industrial, Mecânica - Processos de Soldagem e Refrigeração, Ventilação e Ar Condicionado
Fatec São Paulo;Avenida Tiradentes, 615 - Bom Retiro;São Paulo ;SP;1101010;16;Análise e Desenvolvimento de Sistemas, Construção Civil - Edifícios, Eletrônica Industrial, Estradas, Gestão de Empreendimentos Gastronômicos, Gestão de Turismo, Gestão Empresarial, Hidráulica e Saneamento Ambiental, Instalações Elétricas, Materiais, Mecânica - Processos de Produção, Mecânica - Projetos, Mecânica de Precisão, Microeletrônica, Secretariado e Assessoria Internacional e Soldagem
Fatec Sebrae;Alameda Nothman, 598 - Campos Elíseos;São Paulo ;SP;1204001;2;Gestão de Negócios e Inovação e Marketing
Fatec Tatuapé;Rua Antonio de Barros, 800 - Tatuapé;São Paulo ;SP;3401000;5;Construção de Edifícios, Controle de Obras, Design de Produto com Ênfase em Processos de Produção e Industrialização, Gestão Empresarial e Transporte Terrestre
Fatec Zona Leste;Avenida Aguia de Haia, 2983 - Cidade A. E. Carvalho;São Paulo ;SP;3694000;8;Análise e Desenvolvimento de Sistemas, Comércio Exterior, Desenvolvimento de Produtos Plásticos, Desenvolvimento de Software Multiplataforma, Gestão de Recursos Humanos, Gestão Empresarial, Logística e Polímeros
Fatec Zona Sul;Rua Frederico Grotte, 322 - Jardim São Luis;São Paulo ;SP;5818270;4;Análise e Desenvolvimento de Sistemas, Desenvolvimento de Software Multiplataforma, Gestão Empresarial e Logística
Fatec São Roque;Vila da Rua;São Roque;SP;18130070;4;Gestão Comercial, Gestão de Empreendimentos Gastronômicos, Gestão de Turismo e Sistemas para Internet
Fatec São Sebastião;Rua Ítalo do Nascimento, 366 - Porto Grande;São Sebastião;SP;11600000;3;Gestão da Tecnologia da Informação, Gestão Empresarial e Logística
Fatec Sertãozinho;Rua Jordão Borghetti, 480 - São João;Sertãozinho;SP;14177082;5;Gestão da Produção Industrial, Gestão Empresarial, Manutenção Industrial, Mecânica - Processos de Soldagem e Mecatrônica Industrial
Fatec Sorocaba;Avenida Engenheiro Carlos Reinaldo Mendes, 2015 - Alto da Boa Vista;Sorocaba;SP;18013280;11;Análise e Desenvolvimento de Sistemas, Eletrônica Automotiva, Fabricação Mecânica, Gestão da Qualidade, Gestão Empresarial, Logística, Manufatura Avançada, Polímeros, Processos Metalúrgicos, Projetos Mecânicos e Sistemas Biomédicos
Fatec Sumaré;Rua Ipiranga, 73 - Centro;Sumaré ;SP;13170026;2;Gestão de Negócios e Inovação e Gestão de Recursos Humanos
Fatec Taquaritinga;Avenida Doutor Flávio Henrique Lemos, 585 - Portal Itamaracá;Taquaritinga;SP;15900000;5;Agronegócio, Análise e Desenvolvimento de Sistemas, Gestão Empresarial, Produção Industrial e Sistemas para Internet
Fatec Tatuí;Rodovia Mário Batista Mori, ,971 - Jardim Aeroporto;Tatuí;SP;18280000;5;Automação Industrial, Gestão da Tecnologia da Informação, Gestão Empresarial, Manutenção Industrial e Produção Fonográfica
Fatec Taubaté;Avenida Tomé Portes Del Rei, 525 - Vila São José;Taubaté ;SP;12070610;4;Análise e Desenvolvimento de Sistemas, Eletrônica Automotiva, Gestão de Recursos Humanos e Gestão Empresarial
Fatec Votorantim;Avenida Juscelino Kubitschek de Oliveira, 279 - Lageado;Votorantim;SP;18110008;2;Controle de Obras e Desenvolvimento de Software Multiplataforma
